"","V1","V2"
"1","Mlu_00001.mRNA1",226
"2","Mlu_00002.mRNA1",40
"3","Mlu_00003.mRNA1",0
"4","Mlu_00004.mRNA1",66
"5","Mlu_00005.mRNA1",120
"6","Mlu_00006.mRNA1",91
"7","Mlu_00007.mRNA1",27
"8","Mlu_00008.mRNA1",326
"9","Mlu_00009.mRNA1",352
"10","Mlu_00010.mRNA1",3
"11","Mlu_00011.mRNA1",0
"12","Mlu_00012.mRNA1",97
"13","Mlu_00013.mRNA1",2
"14","Mlu_00014.mRNA1",106
"15","Mlu_00015.mRNA1",1
"16","Mlu_00016.mRNA1",16
"17","Mlu_00017.mRNA1",0
"18","Mlu_00018.mRNA1",7
"19","Mlu_00019.mRNA1",4
"20","Mlu_00020.mRNA1",22
"21","Mlu_00021.mRNA1",9
"22","Mlu_00022.mRNA1",55
"23","Mlu_00023.mRNA1",174
"24","Mlu_00024.mRNA1",0
"25","Mlu_00025.mRNA1",43
"26","Mlu_00026.mRNA1",15
"27","Mlu_00027.mRNA1",140
"28","Mlu_00028.mRNA1",0
"29","Mlu_00029.mRNA1",287
"30","Mlu_00030.mRNA1",204
"31","Mlu_00031.mRNA1",33
"32","Mlu_00032.mRNA1",0
"33","Mlu_00033.mRNA1",56
"34","Mlu_00034.mRNA1",86
"35","Mlu_00035.mRNA1",92
"36","Mlu_00036.mRNA1",314
"37","Mlu_00037.mRNA1",6
"38","Mlu_00038.mRNA1",545
"39","Mlu_00039.mRNA1",17
"40","Mlu_00040.mRNA1",2
"41","Mlu_00041.mRNA1",5
"42","Mlu_00042.mRNA1",0
"43","Mlu_00043.mRNA1",0
"44","Mlu_00044.mRNA1",166
"45","Mlu_00045.mRNA1",185
"46","Mlu_00046.mRNA1",39
"47","Mlu_00047.mRNA1",0
"48","Mlu_00048.mRNA1",57
"49","Mlu_00049.mRNA1",0
"50","Mlu_00050.mRNA1",3193
"51","Mlu_00051.mRNA1",0
"52","Mlu_00052.mRNA1",0
"53","Mlu_00053.mRNA1",0
"54","Mlu_00054.mRNA1",0
"55","Mlu_00055.mRNA1",0
"56","Mlu_00056.mRNA1",0
"57","Mlu_00057.mRNA1",6
"58","Mlu_00058.mRNA1",5
"59","Mlu_00059.mRNA1",61
"60","Mlu_00060.mRNA1",5
"61","Mlu_00061.mRNA1",604
"62","Mlu_00062.mRNA1",0
"63","Mlu_00063.mRNA1",82
"64","Mlu_00064.mRNA1",100
"65","Mlu_00065.mRNA1",646
"66","Mlu_00066.mRNA1",11
"67","Mlu_00067.mRNA1",1804
"68","Mlu_00068.mRNA1",65
"69","Mlu_00069.mRNA1",0
"70","Mlu_00070.mRNA1",21
"71","Mlu_00071.mRNA1",4
"72","Mlu_00072.mRNA1",129
"73","Mlu_00073.mRNA1",108
"74","Mlu_00074.mRNA1",2
"75","Mlu_00075.mRNA1",0
"76","Mlu_00076.mRNA1",0
"77","Mlu_00077.mRNA1",0
"78","Mlu_00078.mRNA1",0
"79","Mlu_00079.mRNA1",146
"80","Mlu_00080.mRNA1",0
"81","Mlu_00081.mRNA1",211
"82","Mlu_00082.mRNA1",0
"83","Mlu_00083.mRNA1",12
"84","Mlu_00084.mRNA1",75
"85","Mlu_00085.mRNA1",1
"86","Mlu_00086.mRNA1",89
"87","Mlu_00087.mRNA1",139
"88","Mlu_00088.mRNA1",452
"89","Mlu_00089.mRNA1",1346
"90","Mlu_00090.mRNA1",0
"91","Mlu_00091.mRNA1",17
"92","Mlu_00092.mRNA1",258
"93","Mlu_00093.mRNA1",279
"94","Mlu_00094.mRNA1",187
"95","Mlu_00095.mRNA1",5
"96","Mlu_00096.mRNA1",16
"97","Mlu_00097.mRNA1",0
"98","Mlu_00098.mRNA1",0
"99","Mlu_00099.mRNA1",0
"100","Mlu_00100.mRNA1",13
"101","Mlu_00101.mRNA1",1
"102","Mlu_00102.mRNA1",149
"103","Mlu_00103.mRNA1",2
"104","Mlu_00104.mRNA1",609
"105","Mlu_00105.mRNA1",25
"106","Mlu_00106.mRNA1",156
"107","Mlu_00107.mRNA1",0
"108","Mlu_00108.mRNA1",591
"109","Mlu_00109.mRNA1",500
"110","Mlu_00110.mRNA1",31
"111","Mlu_00111.mRNA1",361
"112","Mlu_00112.mRNA1",19
"113","Mlu_00113.mRNA1",6
"114","Mlu_00114.mRNA1",186
"115","Mlu_00115.mRNA1",48
"116","Mlu_00116.mRNA1",221
"117","Mlu_00117.mRNA1",36
"118","Mlu_00118.mRNA1",84
"119","Mlu_00119.mRNA1",11
"120","Mlu_00120.mRNA1",218
"121","Mlu_00121.mRNA1",34
"122","Mlu_00122.mRNA1",98
"123","Mlu_00123.mRNA1",128
"124","Mlu_00124.mRNA1",45
"125","Mlu_00125.mRNA1",57
"126","Mlu_00126.mRNA1",65
"127","Mlu_00127.mRNA1",206
"128","Mlu_00128.mRNA1",259
"129","Mlu_00129.mRNA1",923
"130","Mlu_00130.mRNA1",17
"131","Mlu_00131.mRNA1",117
"132","Mlu_00132.mRNA1",234
"133","Mlu_00133.mRNA1",4
"134","Mlu_00134.mRNA1",30
"135","Mlu_00135.mRNA1",1
"136","Mlu_00136.mRNA1",1
"137","Mlu_00137.mRNA1",0
"138","Mlu_00138.mRNA1",11
"139","Mlu_00139.mRNA1",0
"140","Mlu_00140.mRNA1",104
"141","Mlu_00141.mRNA1",36
"142","Mlu_00142.mRNA1",102
"143","Mlu_00143.mRNA1",102
"144","Mlu_00144.mRNA1",102
"145","Mlu_00145.mRNA1",0
"146","Mlu_00146.mRNA1",0
"147","Mlu_00147.mRNA1",17
"148","Mlu_00148.mRNA1",0
"149","Mlu_00149.mRNA1",13
"150","Mlu_00150.mRNA1",80
"151","Mlu_00151.mRNA1",18
"152","Mlu_00152.mRNA1",138
"153","Mlu_00153.mRNA1",0
"154","Mlu_00154.mRNA1",342
"155","Mlu_00155.mRNA1",83
"156","Mlu_00156.mRNA1",2799
"157","Mlu_00157.mRNA1",14
"158","Mlu_00158.mRNA1",0
"159","Mlu_00159.mRNA1",0
"160","Mlu_00160.mRNA1",281
"161","Mlu_00161.mRNA1",5
"162","Mlu_00162.mRNA1",0
"163","Mlu_00163.mRNA1",151
"164","Mlu_00164.mRNA1",490
"165","Mlu_00165.mRNA1",17
