"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mlu_02469.mRNA1",140.392807160387,-2.68225486051191,0.419518029224878,-6.3552569571287,2.08078498541912e-10,3.75786852498411e-07
"Mlu_12119.mRNA1",34.7738602069791,3.05852600732703,0.462039208888341,6.34914795129136,2.16510732289581e-10,3.75786852498411e-07
"Mlu_17841.mRNA1",102.363588101253,2.35057442760587,0.371978848822747,6.29100364468129,3.15419928386598e-10,5.01294503322284e-07
"Mlu_33860.mRNA1",90.9439067331078,2.84553179105888,0.445887302941591,6.28988336694023,3.17704579641352e-10,5.01294503322284e-07
"Mlu_15486.mRNA1",482.677204604332,1.50888350614368,0.245324930033317,6.14900141981509,7.79722812283329e-10,1.1277715826163e-06
"Mlu_31658.mRNA1",33.1128568811135,2.71638703813278,0.428753536552659,6.15451006384802,7.53099420596625e-10,1.1277715826163e-06
"Mlu_43005.mRNA1",242.662607974324,-1.64118916204753,0.266954731240543,-6.14036853459222,8.23302478132743e-10,1.14317195693688e-06
"Mlu_35451.mRNA1",51.3203940485621,4.30678673897608,0.580002269624253,6.12695752831668,8.95753701278055e-10,1.15164067527649e-06
"Mlu_37649.mRNA1",122.955039322842,-2.29891339312894,0.373906961355123,-6.12877007778611,8.85609964040067e-10,1.15164067527649e-06
"Mlu_30788.mRNA1",180.318830511049,3.51884096227989,0.587423586095307,6.06020839340051,1.35945301723997e-09,1.68538187812325e-06
"Mlu_40012.mRNA1",201.394108705814,-1.94415348237271,0.324167579077133,-6.00379365547361,1.92759648626685e-09,2.30733299406141e-06
"Mlu_24990.mRNA1",112.805217059187,3.45200101555792,0.587755696449892,5.94490152151846,2.76623108323926e-09,3.20080598641615e-06
"Mlu_31304.mRNA1",1364.09123833693,-1.82601042833281,0.307943868267899,-5.91961834715778,3.22689564608077e-09,3.61339446975489e-06
"Mlu_43294.mRNA1",465.761954295431,1.93122683851355,0.325891242682196,5.90327226738377,3.56361427569694e-09,3.86574194850837e-06
"Mlu_19204.mRNA1",61.4918540874467,2.85443685295935,0.473724824447623,5.88081780607473,4.08244343177581e-09,4.29435935900708e-06
